model,context,rank_acc_mean,nll_mean,tie_rate,params
Qwen/Qwen2.5-0.5B,short,0.957767,3.169541,0.00000,0.494
Qwen/Qwen2.5-0.5B,long,0.973450,2.777174,0.00000,0.494
Qwen/Qwen2.5-1.5B,short,0.962822,2.722786,0.00000,1.544
Qwen/Qwen2.5-1.5B,long,0.979949,2.309575,0.00000,1.544
Qwen/Qwen2.5-3B,short,0.964151,2.521270,0.00000,3.086
Qwen/Qwen2.5-3B,long,0.986467,2.093827,0.00000,3.086
Qwen/Qwen2.5-7B,short,0.964721,2.406250,0.00000,7.616
Qwen/Qwen2.5-7B,long,0.988378,1.953265,0.00000,7.616
Qwen/Qwen2-0.5B,short,0.951091,3.403580,0.00000,0.494
Qwen/Qwen2-0.5B,long,0.962176,2.763478,0.00000,0.494
Qwen/Qwen2-1.5B,short,0.958410,2.945995,0.00000,1.544
Qwen/Qwen2-1.5B,long,0.983126,2.317556,0.00000,1.544
Qwen/Qwen2-7B,short,0.962676,2.631549,0.00000,7.616
Qwen/Qwen2-7B,long,0.988034,2.004632,0.00000,7.616
Qwen/Qwen3-1.7B,short,0.978613,3.246423,0.00000,2.032
Qwen/Qwen3-1.7B,long,0.976866,2.698061,0.00000,2.032
Qwen/Qwen3-4B,short,0.974844,3.125537,0.00000,4.022
Qwen/Qwen3-4B,long,0.977948,2.511921,0.00000,4.022
Qwen/Qwen3-8B,short,0.979168,2.803977,0.00000,8.191
Qwen/Qwen3-8B,long,0.977206,2.226784,0.00000,8.191
trillionlabs/Tri-0.5B-Base,short,0.966284,4.725731,0.00000,0.472
trillionlabs/Tri-0.5B-Base,long,0.968284,3.883171,0.00000,0.472
trillionlabs/Tri-1.9B-Base,short,0.965407,4.209851,0.00000,1.809
trillionlabs/Tri-1.9B-Base,long,0.968828,3.283959,0.00000,1.809
trillionlabs/Tri-7B-Base,short,0.969585,3.458795,0.00000,7.527
trillionlabs/Tri-7B-Base,long,0.970652,2.276202,0.00000,7.527
